fen,result
"2B5/8/8/pP4k1/P7/2bp4/5Q2/3K4 w - - 5 57",1.0
"2B5/6Q1/8/pP1k4/P7/3K4/8/8 w - - 3 63",1.0
"r1bqkb1r/p3pppp/2pp1n2/4N3/1n6/2N5/PPP1PPPP/R1BQKB1R w KQkq - 0 7",1.0
"r3kb1r/p3pppp/2pp1n2/q4b2/1n1N4/2N5/PPP1PPPP/R1BQKB1R w KQkq - 4 9",1.0
"r3kb1r/p3pppp/2pp4/P4N2/4n3/P7/2P1PPPP/R1BnKB1R w KQkq - 1 13",1.0
"r3kb1r/p3pp1p/2pp2p1/P4N2/8/P4P2/2P1PnPP/R1BnKBR1 w Qkq - 0 15",1.0
"r3k2r/p3pp1p/2pp2p1/P7/3b4/P3NP2/2P1PnPP/1RBnKBR1 w kq - 4 17",1.0
"r4rk1/p3pp1p/2pp2p1/P7/2n5/PRP2P2/4PKPP/5BR1 w - - 17 29",1.0
"rr4k1/pR3p1p/P1pp2p1/4p3/2n5/P1P2P2/4PKPP/5BR1 w - - 0 31",1.0
"rr4k1/pR3p1p/P1p3p1/3pp3/8/n1PBPP2/5KPP/6R1 w - - 0 33",1.0
"rr4k1/pR3p1p/P5p1/3pp3/2p4P/n1PBPPP1/5K2/6R1 w - - 0 35",1.0
"rr4k1/pR3p1p/P5p1/8/2p1p2P/n1P1P1P1/4BK2/6R1 w - - 0 37",1.0
"r1r3k1/pR5p/P5p1/5p2/2pRp2P/n1P1P1P1/4BK2/8 w - - 0 39",1.0
"r4k2/p5RR/P1r3p1/5p2/2p1p2P/n1P1P1P1/4BK2/8 w - - 3 43",1.0
"r4k2/p5RR/P1r3p1/5p2/2p1p2P/n1P1P1P1/4BK2/8 w - - 7 45",1.0
"r4k2/p5RR/P1r3p1/5p2/2p1p2P/n1P1P1P1/4BK2/8 w - - 11 47",1.0
"r4k2/p5RR/P1r3p1/5p2/2p1p2P/n1P1P1P1/4BK2/8 w - - 15 49",1.0
"r4k2/p5RR/P1r3p1/5p2/2p1p2P/n1P1P1P1/4BK2/8 w - - 19 51",1.0
"r4k2/p5RR/P1r3p1/5p2/2p1p2P/n1P1P1P1/4BK2/8 w - - 23 53",1.0
"r4k2/p5RR/P1r3p1/5p2/2p1p2P/n1P1P1P1/4BK2/8 w - - 27 55",1.0
"r4k2/p5RR/P1r3p1/5p2/2p1p2P/n1P1P1P1/4BK2/8 w - - 31 57",1.0
"r4k2/p5RR/P1r3p1/5p2/2p1p2P/n1P1P1P1/4BK2/8 w - - 35 59",1.0
"r4k2/p5RR/P1r3p1/5p2/2p1p2P/n1P1P1P1/4BK2/8 w - - 39 61",1.0
"3r1k2/p1R5/P7/5pRB/2p1p3/n1P1P1P1/5K2/8 w - - 1 65",1.0
"r1b1kb1r/p2ppp1p/n1p2p2/q7/8/P1N2N2/1PP1PPPP/R2QKB1R w KQkq - 1 9",1.0
"r1b1kb1r/p2ppp2/n1p2p2/5q1p/1P6/P1N2N2/2PQPPPP/R3KB1R w KQkq - 0 11",1.0
"r1b1k2r/p2ppp2/n1p2pqb/7p/1P2P2P/P1N2N2/2PQ1PP1/R3KB1R w KQkq - 1 13",1.0
"r1b1k2r/p2ppp2/n1pb1pq1/7p/1P1QP2P/P1N2NP1/2P2P2/R3KB1R w KQkq - 1 15",1.0
"r1b1k1r1/p1nppp2/2pb1pq1/7p/1PBQP2P/P1N2NP1/2P2P2/2KR3R w q - 5 17",1.0
"r1b1k3/p1nppp2/2p4q/4Q2p/1PB2P1P/P1N3r1/2P5/2KR3R w q - 0 21",1.0
"r1b1k3/2Qppp2/2p4q/p6p/1PB2P1P/r7/2P1N3/2KR3R w q - 0 23",1.0
"r1b1k3/2Q1pp2/7q/pp1p3p/5P1P/rB6/2P1N3/2KR3R w q - 0 25",1.0
"2b4Q/2q1kp2/4p3/1p6/p4P1P/1r6/2P1N3/2KR3R w - - 2 31",1.0
"2b4Q/2q1kp2/4p2P/1p6/5P2/1r6/p1P1N3/2KR3R w - - 0 33",1.0
"8/1b2kp1P/3qp3/1p6/3Q1P2/8/2PKN3/qr1R2R1 w - - 0 37",1.0
"8/5p2/3kp3/1p6/4bP2/8/2PKN3/3R4 w - - 0 41",1.0
"8/5p2/4k3/3p4/1p1K1P2/8/2P5/3R4 w - - 2 45",1.0
"8/5p2/8/3K4/1p3k2/8/2P5/1R6 w - - 0 47",1.0
"8/5R2/8/3K4/1p6/8/2Pk4/8 w - - 1 49",1.0
"8/8/8/3K4/3R4/1k6/8/8 w - - 2 53",1.0
"8/8/8/8/2R1K3/1k6/8/8 w - - 6 55",1.0
"8/8/8/8/3K4/2R5/k7/8 w - - 10 57",1.0
"8/8/8/8/2K5/2R5/k7/8 w - - 14 59",1.0
"8/1R6/8/8/2K5/8/k7/8 w - - 18 61",1.0
"8/1R6/8/8/8/8/k1K5/8 w - - 22 63",1.0
"r1bq1rk1/1pppppbp/2n2np1/p7/P1P1N3/5N2/1PQPPPPP/R1B1KB1R w KQ - 1 7",0.5
"r1bq1rk1/2p1ppbp/1pn2np1/p1Np4/P1P4P/5N2/1PQPPPP1/R1B1KB1R w KQ - 0 9",0.5
"r4rk1/2p1ppbp/1pn3p1/p2n1b2/P6P/3N1N2/1P1PPPP1/R1B1KB1R w KQ - 0 13",0.5
"r4rk1/2p1pp1p/1p4p1/p2n1b1P/P2b4/3N4/1P1PPPP1/R1B1KB1R w KQ - 0 15",0.5
"r4rk1/2p1p2p/1p3bp1/p2n1b2/P7/3NP3/1P1P1PP1/R1B1KB1R w KQ - 0 17",0.5
"r4rk1/3bp2p/1p3bp1/p1pn4/P5P1/3NP3/1P1PBP2/R1B1K2R w KQ - 1 19",0.5
"r4rk1/4p2p/1p2b1p1/p2n4/P1B2PP1/4P3/1B1P4/R3K2R w KQ - 1 23",0.5
"2r2rk1/4p2p/1p2b1p1/p2n2P1/P1B2P2/4P3/1B1P4/2R1K2R w K - 1 25",0.5
"5rk1/4p2p/1p4p1/p5P1/P4P2/1b2P3/1B6/2R3K1 w - - 2 29",0.5
"1r4k1/4p2p/1p4p1/p5P1/P2B1P2/4P3/2b5/R5K1 w - - 6 31",0.5
"6k1/4p2p/1pr3p1/p5P1/P2B1P2/4P3/2b5/R5K1 w - - 10 33",0.5
"6k1/7p/1p2p1p1/p5P1/P4P2/2BbP3/5K2/8 w - - 0 37",0.5
"6k1/7p/1B2p1p1/6P1/p3KP2/4P3/8/3b4 w - - 0 41",0.5
"8/6kp/4p1p1/2B3P1/p2K1P2/4P3/4b3/8 w - - 4 43",0.5
"8/6kp/4p1p1/2B3P1/p2K1P2/4P3/4b3/8 w - - 8 45",0.5
"8/6kp/4p1p1/1bB3P1/p2K1P2/4P3/8/8 w - - 12 47",0.5
"8/6kp/4p1p1/2B3P1/p2K1P2/4P3/4b3/8 w - - 16 49",0.5
"8/6kp/4p1p1/2B3P1/p2K1P2/4P3/4b3/8 w - - 20 51",0.5
"8/6k1/4p1p1/2B1K1Pp/p3PPb1/8/8/8 w - h6 0 53",0.5
"5B2/8/4p1p1/4K2k/p3PPb1/8/8/8 w - - 2 55",0.5
"8/4B3/4p1p1/8/p2KPPk1/5b2/8/8 w - - 6 57",0.5
"8/4B3/4p1p1/8/p3PPk1/1b6/3K4/8 w - - 10 59",0.5
"8/8/4pBp1/8/p1b1PPk1/4K3/8/8 w - - 14 61",0.5
"8/4B3/4p1p1/8/p3PPk1/3b4/5K2/8 w - - 18 63",0.5
"8/4B3/4p1p1/8/p3PPk1/3b4/5K2/8 w - - 22 65",0.5
"8/4B3/4p1p1/1b6/p3PPk1/8/5K2/8 w - - 26 67",0.5
"8/4B3/2b1p1k1/8/p3P3/4K3/8/8 w - - 2 71",0.5
"8/4B3/4p1k1/4P3/p1b2K2/8/8/8 w - - 1 73",0.5
"8/5k2/3Bp3/3bP3/p4K2/8/8/8 w - - 5 75",0.5
"8/8/4p3/3bP2k/p4K2/B7/8/8 w - - 9 77",0.5
"8/8/4p2k/3bP3/p4K2/B7/8/8 w - - 13 79",0.5
"8/5k2/4p3/3bP3/p4K2/B7/8/8 w - - 17 81",0.5
"8/5k2/4p3/2BbP3/p4K2/8/8/8 w - - 21 83",0.5
"8/5k2/4p3/2BbP3/p4K2/8/8/8 w - - 25 85",0.5
"8/5k2/4p3/2BbP3/p4K2/8/8/8 w - - 29 87",0.5
"8/3k4/4p3/2BbP3/p4K2/8/8/8 w - - 33 89",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 37 91",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 41 93",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 45 95",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 49 97",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 53 99",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 57 101",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 61 103",0.5
"8/8/4p3/1kBbP3/p2K4/8/8/8 w - - 65 105",0.5
